id,cpf,nome,idade,data_cadastro
1,123.456.789-09,João Silva,45,2024-12-01
2,987.654.321-00,Maria Oliveira,30,2024-12-02
3,456.789.123-64,Carlos Pereira,65,2024-12-03
4,321.987.654-46,Ana Souza,29,2024-12-04
5,654.321.987-46,Pedro Almeida,50,2024-12-05
6,354.624.978-06,Maria Madalena,50,2024-07-10
7,258.369.147-85,Lucas Lima,34,2024-11-10
8,741.852.963-21,Juliana Costa,27,2024-10-22
9,369.258.147-00,Ricardo Ramos,55,2024-09-30
10,852.741.963-33,Fernanda Torres,42,2024-08-15
11,159.357.486-11,Patrícia Silva,37,2024-07-20
12,753.951.852-22,Roberto Carlos,60,2024-06-05
13,456.123.789-88,Cláudia Menezes,44,2024-05-17
14,789.456.123-77,Diego Farias,28,2024-04-19
15,321.654.987-99,Marina Rocha,32,2024-03-13
16,654.987.321-12,José Santos,53,2024-02-27
17,987.321.654-56,Isabela Martins,41,2024-01-08
18,147.258.369-45,André Souza,47,2023-12-10
19,258.147.369-32,Paula Barros,35,2023-11-23
20,369.147.258-54,Camila Dias,29,2023-10-17
21,741.963.852-38,Luiz Felipe,60,2023-09-08
22,963.852.741-44,Débora Prado,33,2023-08-14
23,357.159.486-21,Rafael Simões,38,2023-07-29
24,486.357.159-95,Simone Paiva,46,2023-06-18
25,951.753.852-62,Daniela Lopes,39,2023-05-04
26,852.951.753-08,Lucas Andrade,31,2023-04-15
27,789.321.654-87,Carolina Freitas,28,2023-03-12
28,654.789.321-65,Marcelo Pinto,57,2023-02-21
29,321.789.654-43,Vanessa Gomes,36,2023-01-31
30,159.486.357-24,Bruno Souza,52,2022-12-25
